， O
造 O
成 O
国 O
有 O
资 O
本 O
不 O
能 O
有 O
效 O
运 O
转 O
。 O
特 O
别 O
是 O
对 O
于 O
一 O
些 O
看 O
好 O
的 O
项 O
目 O
还 O
要 O
经 O
主 O
管 O
部 O
门 O
反 O
复 O
讨 O
论 O
， O
再 O
三 O
研 O
究 O
， O
手 O
续 O
繁 O
杂 O
， O
好 O
的 O
发 O
展 O
机 O
遇 O
往 O
往 O
因 O
时 O
间 O
耽 O
误 O
而 O
白 O
白 O
丧 O
失 O
。 O
在 O
这 O
种 O
行 O
政 O
隶 O
属 O
关 O
系 O
下 O
， O
[ O
刘 B_NT
桥 I
一 I
矿 I
的 O
领 O
导 O
班 O
子 O
不 O
是 O
无 O
所 O
作 O
为 O
， O
而 O
是 O
让 O
职 O
工 O
参 O
政 O
议 O
政 O
， O
汇 O
集 O
群 O
众 O
智 O
慧 O
， O
提 O
高 O
决 O
策 O
水 O
平 O
， O
也 O
冒 O
了 O
不 O
少 O
风 O
险 O
， O
顶 O
住 O
不 O
少 O
压 O
力 O
， O
冲 O
破 O
一 O
些 O
不 O
切 O
合 O
实 O
际 O
的 O
条 O
条 O
框 O
框 O
， O
以 O
“ O
三 O
个 O
有 O
利 O
于 O
” O
为 O
标 O
准 O
， O
不 O
断 O
开 O
拓 O
前 O
进 O
， O
从 O
而 O
保 O
证 O
国 O
有 O
资 O
本 O
一 O
直 O
比 O
较 O
好 O
地 O
运 O
转 O
。 O

十 O
四 O
大 O
提 O
出 O
的 O
坚 O
持 O
公 O
有 O
制 O
为 O
主 O
体 O
， O
多 O
种 O
经 O
济 O
成 O
分 O
共 O
同 O
发 O
展 O
的 O
方 O
针 O
， O
符 O
合 O
社 O
会 O
主 O
义 O
初 O
级 O
阶 O
段 O
的 O
基 O
本 O
国 O
情 O
， O
符 O
合 O
社 O
会 O
主 O
义 O
市 O
场 O
经 O
济 O
的 O
内 O
在 O
要 O
求 O
， O
符 O
合 O
“ O
三 O
个 O
有 O
利 O
于 O
” O
的 O
标 O
准 O
， O
也 O
符 O
合 O
[ O
刘 B_NT
桥 I
一 I
矿 I
的 O
实 O
际 O
。 O
坚 O
持 O
这 O
一 O
方 O
针 O
， O
国 O
有 O
企 O
业 O
不 O
仅 O
可 O
以 O
集 O
中 O
资 O
金 O
、 O
技 O
术 O
进 O
行 O
技 O
术 O
改 O
造 O
和 O
设 O
备 O
更 O
新 O
， O
而 O
且 O
人 O
员 O
分 O
流 O
、 O
社 O
会 O
负 O
担 O
等 O
问 O
题 O
也 O
有 O
了 O
解 O
决 O
的 O
渠 O
道 O
， O
企 O
业 O
的 O
市 O
场 O
更 O
加 O
开 O
阔 O
， O
竞 O
争 O
实 O
力 O
更 O
加 O
雄 O
厚 O
， O
整 O
体 O
素 O
质 O
得 O
到 O
提 O
高 O
。 O
几 O
年 O
来 O
， O
他 O
们 O
坚 O
持 O
“ O
共 O
同 O
发 O
展 O
” O
， O
国 O
有 O
主 O
体 O
煤 O
矿 O
的 O
生 O
机 O
和 O
活 O
力 O
不 O
断 O
增 O
强 O
， O
集 O
体 O
、 O
个 O
体 O
、 O
外 O
资 O
、 O
外 O
引 O
内 O
联 O
等 O
形 O
式 O
的 O
非 O
煤 O
产 O
业 O
朝 O
着 O
规 O
模 O
化 O
、 O
效 O
益 O
化 O
方 O
向 O
发 O
展 O
。 O
年 O
产 O
量 O
４ O
４ O
０ O
０ O
万 O
块 O
砖 O
的 O
煤 O
矸 O
石 O
建 O
材 O
厂 O
、 O
年 O
产 O
值 O
５ O
０ O
０ O
０ O
万 O
元 O
的 O
多 O
种 O
经 O
营 O
公 O
司 O
、 O
具 O
有 O
发 O
展 O
潜 O
力 O
的 O
[ O
振 B_NT
武 I
责 I
任 I
有 I
限 I
公 I
司 I
和 O
养 O
殖 O
公 O
司 O
等 O
， O
已 O
建 O
成 O
投 O
产 O
。 O
据 O
测 O
算 O
， O
到 O
２ O
０ O
０ O
０ O
年 O
， O
该 O
矿 O
年 O
产 O
值 O
可 O
超 O
过 O
１ O
０ O
个 O
亿 O
。 O
十 O
五 O
大 O
把 O
“ O
坚 O
持 O
公 O
有 O
制 O
为 O
主 O
体 O
、 O
多 O
种 O
所 O
有 O
制 O
经 O
济 O
共 O
同 O
发 O
展 O
” O
， O
由 O
经 O
济 O
发 O
展 O
的 O
指 O
导 O
方 O
针 O
升 O
华 O
为 O
社 O
会 O
主 O
义 O
初 O
级 O
阶 O
段 O
的 O
基 O
本 O
经 O
济 O
制 O
度 O
。 O
他 O
们 O
吃 O
了 O
“ O
定 O
心 O
丸 O
” O
， O
思 O
想 O
更 O
解 O
放 O
了 O
， O
提 O
出 O
了 O
新 O
的 O
战 O
略 O
和 O
目 O
标 O
， O
即 O
逐 O
步 O
从 O
目 O
前 O
的 O
以 O
煤 O
为 O
主 O
的 O
煤 O
矿 O
向 O
煤 O
炭 O
、 O
电 O
力 O
、 O
冶 O
炼 O
、 O
农 O
业 O
四 O
大 O
产 O
业 O
为 O
支 O
柱 O
的 O
企 O
业 O
集 O
团 O
发 O
展 O
， O
形 O
成 O
煤 O
与 O
非 O
煤 O
相 O
互 O
促 O
进 O
、 O
工 O
农 O
贸 O
一 O
体 O
化 O
、 O
矿 O
区 O
与 O
农 O
村 O
相 O
融 O
合 O
的 O
新 O
型 O
经 O
济 O
区 O
。 O

[ O
刘 B_NT
桥 I
一 I
矿 I
非 O
煤 O
产 O
业 O
发 O
展 O
势 O
头 O
迅 O
猛 O
， O
从 O
所 O
有 O
制 O
实 O
现 O
形 O
式 O
上 O
讲 O
， O
是 O
在 O
于 O
他 O
们 O
努 O
力 O
